"","age","date","ma_case","ma_death","quarter","cfr"
"1","<18 years",2020-01-25,0,0,2020.1,0
"2","<18 years",2020-01-26,0,0,2020.1,0
"3","<18 years",2020-01-27,0,0,2020.1,0
"4","<18 years",2020-01-28,0,0,2020.1,0
"5","<18 years",2020-01-29,0,0,2020.1,0
"6","<18 years",2020-01-30,0,0,2020.1,0
"7","<18 years",2020-01-31,0,0,2020.1,0
"8","<18 years",2020-02-01,0,0,2020.1,0
"9","<18 years",2020-02-02,0,0,2020.1,0
"10","<18 years",2020-02-03,0,0,2020.1,0
"11","<18 years",2020-02-04,0,0,2020.1,0
"12","<18 years",2020-02-05,0,0,2020.1,0
"13","<18 years",2020-02-06,0,0,2020.1,0
"14","<18 years",2020-02-07,0,0,2020.1,0
"15","<18 years",2020-02-08,0,0,2020.1,0
"16","<18 years",2020-02-09,0,0,2020.1,0
"17","<18 years",2020-02-10,0,0,2020.1,0
"18","<18 years",2020-02-11,0,0,2020.1,0
"19","<18 years",2020-02-12,0,0,2020.1,0
"20","<18 years",2020-02-13,0,0,2020.1,0
"21","<18 years",2020-02-14,0,0,2020.1,0
"22","<18 years",2020-02-15,0,0,2020.1,0
"23","<18 years",2020-02-16,0,0,2020.1,0
"24","<18 years",2020-02-17,0,0,2020.1,0
"25","<18 years",2020-02-18,0,0,2020.1,0
"26","<18 years",2020-02-19,0,0,2020.1,0
"27","<18 years",2020-02-20,0,0,2020.1,0
"28","<18 years",2020-02-21,0,0,2020.1,0
"29","<18 years",2020-02-22,0,0,2020.1,0
"30","<18 years",2020-02-23,0,0,2020.1,0
"31","<18 years",2020-02-24,0,0,2020.1,0
"32","<18 years",2020-02-25,0,0,2020.1,0
"33","<18 years",2020-02-26,0,0,2020.1,0
"34","<18 years",2020-02-27,0,0,2020.1,0
"35","<18 years",2020-02-28,0,0,2020.1,0
"36","<18 years",2020-02-29,0,0,2020.1,0
"37","<18 years",2020-03-01,0,0,2020.1,0
"38","<18 years",2020-03-02,0,0,2020.1,0
"39","<18 years",2020-03-03,0,0,2020.1,0
"40","<18 years",2020-03-04,0,0,2020.1,0
"41","<18 years",2020-03-05,0,0,2020.1,0
"42","<18 years",2020-03-06,0,0,2020.1,0
"43","<18 years",2020-03-07,0,0,2020.1,0
"44","<18 years",2020-03-08,0,0,2020.1,0
"45","<18 years",2020-03-09,0,0,2020.1,0
"46","<18 years",2020-03-10,0,0,2020.1,0
"47","<18 years",2020-03-11,0,0,2020.1,0
"48","<18 years",2020-03-12,0,0,2020.1,0
"49","<18 years",2020-03-13,0,0,2020.1,0
"50","<18 years",2020-03-14,0,0,2020.1,0
"51","<18 years",2020-03-15,0,0,2020.1,0
"52","<18 years",2020-03-16,0,0,2020.1,0
"53","<18 years",2020-03-17,0,0,2020.1,0
"54","<18 years",2020-03-18,11.8571428571429,0,2020.1,0
"55","<18 years",2020-03-19,11,0,2020.1,0
"56","<18 years",2020-03-20,12.8571428571429,0,2020.1,0
"57","<18 years",2020-03-21,14.1428571428571,0,2020.1,0
"58","<18 years",2020-03-22,14.4285714285714,0,2020.1,0
"59","<18 years",2020-03-23,17.5714285714286,0,2020.1,0
"60","<18 years",2020-03-24,17.5714285714286,0,2020.1,0
"61","<18 years",2020-03-25,17.5714285714286,0,2020.1,0
"62","<18 years",2020-03-26,18.4285714285714,0,2020.1,0
"63","<18 years",2020-03-27,18,0,2020.1,0
"64","<18 years",2020-03-28,17.2857142857143,0,2020.1,0
"65","<18 years",2020-03-29,17.5714285714286,0,2020.1,0
"66","<18 years",2020-03-30,16.7142857142857,0,2020.1,0
"67","<18 years",2020-03-31,19,0,2020.1,0
"68","<18 years",2020-04-01,20.4285714285714,0,2020.2,0
"69","<18 years",2020-04-02,24.4285714285714,0,2020.2,0
"70","<18 years",2020-04-03,25.1428571428571,0,2020.2,0
"71","<18 years",2020-04-04,28.4285714285714,0,2020.2,0
"72","<18 years",2020-04-05,30.1428571428571,0,2020.2,0
"73","<18 years",2020-04-06,27.5714285714286,0,2020.2,0
"74","<18 years",2020-04-07,25.5714285714286,0,2020.2,0
"75","<18 years",2020-04-08,29.2857142857143,0,2020.2,0
"76","<18 years",2020-04-09,30.7142857142857,0,2020.2,0
"77","<18 years",2020-04-10,30.8571428571429,0,2020.2,0
"78","<18 years",2020-04-11,28.8571428571429,0,2020.2,0
"79","<18 years",2020-04-12,25.5714285714286,0,2020.2,0
"80","<18 years",2020-04-13,28.5714285714286,0,2020.2,0
"81","<18 years",2020-04-14,29,0,2020.2,0
"82","<18 years",2020-04-15,23.1428571428571,0,2020.2,0
"83","<18 years",2020-04-16,17.8571428571429,0,2020.2,0
"84","<18 years",2020-04-17,15,0,2020.2,0
"85","<18 years",2020-04-18,13.4285714285714,0,2020.2,0
"86","<18 years",2020-04-19,14.2857142857143,0,2020.2,0
"87","<18 years",2020-04-20,13.7142857142857,0,2020.2,0
"88","<18 years",2020-04-21,18.1428571428571,0,2020.2,0
"89","<18 years",2020-04-22,20.5714285714286,0,2020.2,0
"90","<18 years",2020-04-23,19.5714285714286,0,2020.2,0
"91","<18 years",2020-04-24,21.7142857142857,0,2020.2,0
"92","<18 years",2020-04-25,21.7142857142857,0,2020.2,0
"93","<18 years",2020-04-26,21.2857142857143,0,2020.2,0
"94","<18 years",2020-04-27,18.4285714285714,0,2020.2,0
"95","<18 years",2020-04-28,16.2857142857143,0,2020.2,0
"96","<18 years",2020-04-29,14.5714285714286,0,2020.2,0
"97","<18 years",2020-04-30,17.7142857142857,0,2020.2,0
"98","<18 years",2020-05-01,16.7142857142857,0,2020.2,0
"99","<18 years",2020-05-02,16,0,2020.2,0
"100","<18 years",2020-05-03,15.7142857142857,0,2020.2,0
"101","<18 years",2020-05-04,16,0,2020.2,0
"102","<18 years",2020-05-05,11.5714285714286,0,2020.2,0
"103","<18 years",2020-05-06,10.4285714285714,0,2020.2,0
"104","<18 years",2020-05-07,7.28571428571429,0,2020.2,0
"105","<18 years",2020-05-08,6.85714285714286,0,2020.2,0
"106","<18 years",2020-05-09,7.14285714285714,0,2020.2,0
"107","<18 years",2020-05-10,6.57142857142857,0,2020.2,0
"108","<18 years",2020-05-11,7.57142857142857,0,2020.2,0
"109","<18 years",2020-05-12,8.85714285714286,0,2020.2,0
"110","<18 years",2020-05-13,8.28571428571429,0,2020.2,0
"111","<18 years",2020-05-14,7.71428571428571,0,2020.2,0
"112","<18 years",2020-05-15,7.42857142857143,0,2020.2,0
"113","<18 years",2020-05-16,7.85714285714286,0,2020.2,0
"114","<18 years",2020-05-17,8.28571428571429,0,2020.2,0
"115","<18 years",2020-05-18,11.1428571428571,0,2020.2,0
"116","<18 years",2020-05-19,14.8571428571429,0,2020.2,0
"117","<18 years",2020-05-20,15,0,2020.2,0
"118","<18 years",2020-05-21,15.4285714285714,0,2020.2,0
"119","<18 years",2020-05-22,25.8571428571429,0,2020.2,0
"120","<18 years",2020-05-23,35.5714285714286,0,2020.2,0
"121","<18 years",2020-05-24,35.1428571428571,0,2020.2,0
"122","<18 years",2020-05-25,30.5714285714286,0,2020.2,0
"123","<18 years",2020-05-26,29.7142857142857,0,2020.2,0
"124","<18 years",2020-05-27,31.4285714285714,0,2020.2,0
"125","<18 years",2020-05-28,31.5714285714286,0,2020.2,0
"126","<18 years",2020-05-29,21,0,2020.2,0
"127","<18 years",2020-05-30,10,0,2020.2,0
"128","<18 years",2020-05-31,14.7142857142857,0,2020.2,0
"129","<18 years",2020-06-01,16.8571428571429,0,2020.2,0
"130","<18 years",2020-06-02,13.4285714285714,0,2020.2,0
"131","<18 years",2020-06-03,13.1428571428571,0,2020.2,0
"132","<18 years",2020-06-04,12.5714285714286,0,2020.2,0
"133","<18 years",2020-06-05,11.7142857142857,0,2020.2,0
"134","<18 years",2020-06-06,11.7142857142857,0,2020.2,0
"135","<18 years",2020-06-07,11.1964285714286,0,2020.2,0
"136","<18 years",2020-06-08,10.6785714285714,0,2020.2,0
"137","<18 years",2020-06-09,10.1607142857143,0,2020.2,0
"138","<18 years",2020-06-10,9.64285714285714,0,2020.2,0
"139","<18 years",2020-06-11,9.125,0,2020.2,0
"140","<18 years",2020-06-12,8.60714285714286,0,2020.2,0
"141","<18 years",2020-06-13,8.08928571428571,0,2020.2,0
"142","<18 years",2020-06-14,7.57142857142857,0,2020.2,0
"143","<18 years",2020-06-15,7.50340136054422,0,2020.2,0
"144","<18 years",2020-06-16,7.43537414965986,0,2020.2,0
"145","<18 years",2020-06-17,7.36734693877551,0,2020.2,0
"146","<18 years",2020-06-18,7.29931972789116,0,2020.2,0
"147","<18 years",2020-06-19,7.2312925170068,0,2020.2,0
"148","<18 years",2020-06-20,7.16326530612245,0,2020.2,0
"149","<18 years",2020-06-21,7.09523809523809,0,2020.2,0
"150","<18 years",2020-06-22,7.02721088435374,0,2020.2,0
"151","<18 years",2020-06-23,6.95918367346939,0,2020.2,0
"152","<18 years",2020-06-24,6.89115646258503,0,2020.2,0
