No.,Variable name,Types of variable,Variables in dataset,Variable definition,Missing observations,Source,Dataset
COVID-19 transmission indicators in Malaysia,,,,,,,
1,Date of reporting,date,date,Reporting date begins on 25 January 2020,0,"Ministry of Health, Malaysia GitHub",transmission
2,Sequence of day,continuous,time,Sequence of numbers corresponding to the number of days since reporting began. 25 January 2020 is Day 1,0,"Ministry of Health, Malaysia GitHub",transmission
3,State,categorical,state,"Categorical: i) Perlis, ii) Kedah, iii) Pulau Pinang, iv) Perak, v) Selangor, vi) Negeri Sembilan, vii) Melaka, viii) Johor, ix) Pahang, x) Terengganu, xi) Kelantan, xii) Sabah, xiii) Sarawak, xiv) Wilayah Perseketuan Kuala Lumpur, xv)  Wilayah Perseketuan Putrajaya, xvi) Wilayah Perseketuan Labuan, and xvii) Malaysia",0,"Ministry of Health, Malaysia GitHub",transmission
4,Daily new cases of COVID-19 being reported,continuous,cases_new,Aggregate daily cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
5,Daily new imported cases of COVID-19 being reported,continuous,cases_import,Aggregate daily import-linked cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
6,Daily new  recoveries of COVID-19 being reported,continuous,cases_recovered,Aggregate daily recoveries by location,0,"Ministry of Health, Malaysia GitHub",transmission
7,Daily active cases of COVID-19 being reported,continuous,cases_active,Aggregate daily active cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
8,Daily new cluster-linked cases of COVID-19 being reported,continuous,cases_cluster,Aggregate daily new cluster-linked cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
9,Daily partially vaccinated new cases of COVID-19 being reported,continuous,cases_pvax,Aggregate daily partially-vaccinated new cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
10,Daily fully vaccinated new cases of COVID-19 being reported,continuous,cases_fvax,Aggregate daily fully-vaccinated new cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
11,Daily new cases of COVID-19 being reported amongst children,continuous,cases_child,Aggregate daily cases in children by location,0,"Ministry of Health, Malaysia GitHub",transmission
12,Daily new cases of COVID-19 being reported amongst adolescents,continuous,cases_adolescent,Aggregate daily cases in adolescents by location,0,"Ministry of Health, Malaysia GitHub",transmission
13,Daily new cases of COVID-19 being reported amongst adult,continuous,cases_adult,Aggregate daily cases in adult by location,0,"Ministry of Health, Malaysia GitHub",transmission
14,Daily new cases of COVID-19 being reported amongst elderly,continuous,cases_elderly,Aggregate daily cases in elderly by location,0,"Ministry of Health, Malaysia GitHub",transmission
15,Truncated daily new cases of COVID-19 being reported ,continuous,cases_truncate,Aggregate daily cases after being truncated for imported and institutionalised cases by location for Rt estimation,0,"Ministry of Health, Malaysia GitHub",transmission
16,7-day moving average of cases,continuous,ma_7day_cases,7-day moving average of cases by location,0,"Ministry of Health, Malaysia GitHub",transmission
17,Truncated 7-day moving average of cases,continuous,ma_7day_cases_truncate,7-day moving average of cases by location after being truncated for imported and institutionalised cases by location for Rt estimation,0,"Ministry of Health, Malaysia GitHub",transmission
18,7-day rolling sum of daily new cases,continuous,rollcases_7d,Sum of all daily new-cases in last 7-days,0,"Ministry of Health, Malaysia GitHub",transmission
19,Daily new  COVID-19 deaths  by day of reporting,continuous,deaths_new,Aggregate daily COVID-19 deaths by location by day of reporting,0,"Ministry of Health, Malaysia GitHub",transmission
20,Daily new brought-in-dead COVID-19 deaths  by day of reporting,continuous,deaths_bid,Aggregate daily brought-in-dead COVID-19 deaths by location by day of reporting,0,"Ministry of Health, Malaysia GitHub",transmission
21,Daily new  COVID-19 deaths  by day of death ,continuous,deaths_new_dod,Aggregate daily COVID-19 deaths by location by day of death,0,"Ministry of Health, Malaysia GitHub",transmission
22,Daily new brought-in-dead COVID-19 deaths  by day of death,continuous,deaths_bid_dod,Aggregate daily brought-in-dead COVID-19 deaths by location by day of death,0,"Ministry of Health, Malaysia GitHub",transmission
23,Daily partially vaccinated new deaths by day of death,continuous,deaths_pvax,Aggregate partially vaccinated COVID-19 deaths by day of death,0,"Ministry of Health, Malaysia GitHub",transmission
24,Daily fully vaccinated new deaths by day of death,continuous,deaths_fvax,Aggregate fully vaccinated COVID-19 deaths by day of death,0,"Ministry of Health, Malaysia GitHub",transmission
25,Median duration between death and reporting,continuous,deaths_tat,Aggregate daily median number of days between date of death and date of reporting,0,"Ministry of Health, Malaysia GitHub",transmission
26,7-day moving average of deaths,continuous,ma_7day_deaths,7-day moving average of daily COVID-19 deaths by date of death by location,0,"Ministry of Health, Malaysia GitHub",transmission
