No.,Variable name,Types of variable,Variables in dataset,Variable definition,Missing observations,Source
29,Record closings of schools and universities,Continuous ,school_closures,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
30,Record closings of workplaces,Continuous ,workplace_closures,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
31,Record cancelling public events,Continuous ,public_events,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
32,Record limits on private gatherings,Continuous ,gathering,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
33,Record closing of public transport,Continuous ,public_transport,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
34,"Record orders to ""shelter-in-place"" and otherwise confine to the home",Continuous ,stayathome,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
35,Record restrictions on internal movement between cities/regions,Continuous ,domestic_travel,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
36,Record restrictions on international travel,Continuous ,international_travel,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
37,Record if the government is providing direct cash payments to people who lose their jobs or cannot work.,Continuous ,income_support,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
38,"Record if the government is freezing financial obligations for households (eg stopping loan repayments, preventing services like water from stopping, or banning evictions)",Continuous ,debt_relief,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
39,Record presence of public info campaigns,Continuous ,public_info,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
40,Record government policy on who has access to testing,Continuous ,testing,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
