Variable Name,Defintion/ Cluster name,Type of Variable,Date announced,Date of last onset,Missing observations,Source,Dataset,State,District,Category,Status,New Cases,Total cases,Active cases,Tests,ICU admission,Deaths,Recovered
date,Date,Date,1/1/2021,28/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,-,-,-,-,-,-,-,-,-,-,-
5jln_kebun,Lima Jalan Kebun,Time-series (numeric),13/5/2021,5/7/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Perak","Klang, Kuala Langat, Petaling, Muallim",workplace,active,0,253,0,1328,0,0,253
abak_bon,Abak Bon,Time-series (numeric),11/4/2021,9/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Subis, Miri",community,active,0,231,0,460,0,1,230
abaka,Abaka,Time-series (numeric),22/5/2021,6/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,community,active,0,83,0,171,0,0,83
abell,Abell,Time-series (numeric),13/11/2020,13/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Kuching,workplace,ended,0,15,0,214,0,0,15
aero,Aero,Time-series (numeric),4/11/2020,6/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Petaling,workplace,ended,0,31,0,167,0,0,31
air_budi,Air Budi,Time-series (numeric),1/5/2021,23/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka,"Alor Gajah, Melaka Tengah, Jasin",religious,active,0,67,0,294,0,2,65
air_padang,Air Padang,Time-series (numeric),30/4/2021,29/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Miri, Kuching",workplace,ended,0,29,0,203,0,0,29
akar_peluru,Akar Peluru,Time-series (numeric),27/4/2021,4/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kota Setar, Pendang, Yan",community,active,0,23,0,85,0,0,23
alam,Alam (Kapal),Time-series (numeric),20/8/2020,8/8/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Bintulu,import,ended,0,8,0,27,0,0,8
alila,Alila,Time-series (numeric),14/11/2020,28/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Tuaran, Kota Kinabalu & Penampang",workplace,ended,0,61,0,248,0,0,61
alma,Alma,Time-series (numeric),18/10/2020,3/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Pulau Pinang, Perak & Kedah","Seberang Perai Tengah, Seberang Perai Selatan, Seberang Perai Utara, Kerian, Bandar Baharu & Kulim",community,ended,0,46,0,818,0,0,46
alor,Alor,Time-series (numeric),30/12/2020,31/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kedah, WP Kuala Lumpur & Selangor","Kota Setar, Titiwangsa, Cheras & Klang",community,ended,0,22,0,67,0,0,22
alor_durian,Alor Durian,Time-series (numeric),10/1/2021,20/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan & Pulau Pinang,"Tumpat , Kota Bharu & Seberang Perai Utara",community,ended,0,34,0,110,0,0,34
amanjaya,Amanjaya,Time-series (numeric),9/3/2021,8/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kuala Muda, Pendang, Yan",highRisk,ended,0,16,0,71,0,0,15
ampang_campuran,Ampang Campuran,Time-series (numeric),7/2/2021,6/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & WP Kuala Lumpur,Hulu Langat & Cheras,highRisk,ended,0,14,0,25,0,0,14
anak_air,Anak Air,Time-series (numeric),6/1/2021,11/2/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka,Jasin & Melaka Tengah,religious,ended,0,84,0,400,0,1,83
andalas,Andalas,Time-series (numeric),5/12/2020,19/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Klang, Sepang & Petaling",highRisk,ended,0,36,0,48,0,0,36
andromeda,Andromeda,Time-series (numeric),17/3/2021,22/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Muar,import,ended,0,11,0,44,0,0,11
anggerik_cempaka,Anggerik Cempaka,Time-series (numeric),21/4/2021,29/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Baling,education,ended,0,24,0,165,0,0,21
ara,Ara,Time-series (numeric),20/9/2020,15/9/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah & Pulau Pinang,Sandakan & Barat Daya,community,ended,0,2,0,252,0,0,2
