"","date","state","grocery","parks","recreation","transit","work","residence","average"
"1",2020-02-15,"Malaysia",-3,0,-4,-3,2,2,-2.33333333333333
"2",2020-02-16,"Malaysia",-4,0,-6,-3,0,2,-3.33333333333333
"3",2020-02-17,"Malaysia",-3,-4,-5,-6,2,2,-4
"4",2020-02-18,"Malaysia",-7,-8,-8,-9,2,2,-7.66666666666667
"5",2020-02-19,"Malaysia",-4,-3,-6,-7,2,2,-4.33333333333333
"6",2020-02-20,"Malaysia",-4,-2,-2,-5,2,1,-2.66666666666667
"7",2020-02-21,"Malaysia",-5,-3,-4,-3,5,2,-4
"8",2020-02-22,"Malaysia",-6,2,-4,-1,2,1,-2.66666666666667
"9",2020-02-23,"Malaysia",-6,0,-6,-1,0,1,-4
"10",2020-02-24,"Malaysia",-4,-5,-4,-6,2,2,-4.33333333333333
"11",2020-02-25,"Malaysia",-4,-4,-4,-8,3,1,-4
"12",2020-02-26,"Malaysia",-4,-4,-4,-7,3,1,-4
"13",2020-02-27,"Malaysia",-3,-3,-3,-4,3,1,-3
"14",2020-02-28,"Malaysia",-1,-1,0,0,6,1,-0.666666666666667
"15",2020-02-29,"Malaysia",1,6,3,3,2,0,3.33333333333333
"16",2020-03-01,"Malaysia",1,4,0,4,0,0,1.66666666666667
"17",2020-03-02,"Malaysia",0,-4,-1,-4,2,1,-1.66666666666667
"18",2020-03-03,"Malaysia",-2,-7,-3,-8,3,1,-4
"19",2020-03-04,"Malaysia",1,-3,-2,-7,2,2,-1.33333333333333
"20",2020-03-05,"Malaysia",-3,-7,-3,-6,2,2,-4.33333333333333
"21",2020-03-06,"Malaysia",0,-4,-2,-5,6,1,-2
"22",2020-03-07,"Malaysia",1,-2,-2,-4,2,1,-1
"23",2020-03-08,"Malaysia",1,2,-2,-1,1,1,0.333333333333333
"24",2020-03-09,"Malaysia",0,-4,-3,-7,2,1,-2.33333333333333
"25",2020-03-10,"Malaysia",-2,-7,-5,-10,2,1,-4.66666666666667
"26",2020-03-11,"Malaysia",-1,-7,-5,-10,2,2,-4.33333333333333
"27",2020-03-12,"Malaysia",-2,-6,-6,-7,2,2,-4.66666666666667
"28",2020-03-13,"Malaysia",1,-5,-5,-2,4,1,-3
"29",2020-03-14,"Malaysia",-1,0,-9,-1,-3,2,-3.33333333333333
"30",2020-03-15,"Malaysia",-3,6,-10,-2,-9,2,-2.33333333333333
"31",2020-03-16,"Malaysia",25,7,-3,-4,-11,2,9.66666666666667
"32",2020-03-17,"Malaysia",30,-5,-5,3,-11,1,6.66666666666667
"33",2020-03-18,"Malaysia",-14,-32,-56,-36,-50,23,-34
"34",2020-03-19,"Malaysia",-24,-45,-67,-58,-56,30,-45.3333333333333
"35",2020-03-20,"Malaysia",-30,-56,-72,-71,-59,35,-52.6666666666667
"36",2020-03-21,"Malaysia",-39,-65,-77,-75,-55,32,-60.3333333333333
"37",2020-03-22,"Malaysia",-62,-68,-83,-81,-55,31,-71
"38",2020-03-23,"Malaysia",-49,-57,-78,-78,-69,38,-61.3333333333333
