date,state,cases,variant,status,data,type,
1/4/2021,Johor,0,Beta B.1.351,voc,inc,,
1/4/2021,Selangor,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Selangor,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Selangor,0,Eta B.1.525,voi,inc,,
1/4/2021,Selangor,0,Theta P.3,voi,inc,,
1/4/2021,Kedah,0,Beta B.1.351,voc,inc,,
1/4/2021,Sarawak,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Sarawak,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Sarawak,0,Eta B.1.525,voi,inc,,
1/4/2021,Sarawak,0,Theta P.3,voi,inc,,
1/4/2021,Kelantan,0,Beta B.1.351,voc,inc,,
1/4/2021,Kelantan,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Kelantan,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Kelantan,0,Eta B.1.525,voi,inc,,
1/4/2021,Kelantan,0,Theta P.3,voi,inc,,
1/4/2021,Malaysia,8,Beta B.1.351,voc,inc,,
1/4/2021,W.P. Kuala Lumpur,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,W.P. Kuala Lumpur,0,Delta B.1.617.2,voc,inc,,
1/4/2021,W.P. Kuala Lumpur,0,Eta B.1.525,voi,inc,,
1/4/2021,W.P. Kuala Lumpur,0,Theta P.3,voi,inc,,
1/4/2021,Negeri Sembilan,0,Beta B.1.351,voc,inc,,
1/4/2021,Perak,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Perak,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Perak,0,Eta B.1.525,voi,inc,,
1/4/2021,Perak,0,Theta P.3,voi,inc,,
1/4/2021,Perak,0,Beta B.1.351,voc,inc,,
1/4/2021,Kedah,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Kedah,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Kedah,0,Eta B.1.525,voi,inc,,
1/4/2021,Kedah,0,Theta P.3,voi,inc,,
1/4/2021,Perlis,0,Beta B.1.351,voc,inc,,
1/4/2021,Pulau Pinang,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Pulau Pinang,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Pulau Pinang,0,Eta B.1.525,voi,inc,,
1/4/2021,Pulau Pinang,0,Theta P.3,voi,inc,,
1/4/2021,Pulau Pinang,0,Beta B.1.351,voc,inc,,
1/4/2021,Negeri Sembilan,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Negeri Sembilan,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Negeri Sembilan,0,Eta B.1.525,voi,inc,,
1/4/2021,Negeri Sembilan,0,Theta P.3,voi,inc,,
1/4/2021,Sabah,0,Beta B.1.351,voc,inc,,
1/4/2021,Johor,0,Alpha B.1.1.7,voc,inc,cumulative,
1/4/2021,Johor,0,Delta B.1.617.2,voc,inc,,
1/4/2021,Johor,0,Eta B.1.525,voi,inc,,
1/4/2021,Johor,0,Theta P.3,voi,inc,,
